,belongs_to_collection,genres,original_language,popularity,production_companies,runtime,spoken_languages,title,vote_average
0,Toy Story Collection,"['Animation', 'Comedy', 'Family']",en,21.946943,['Pixar Animation Studios'],81.0,['English'],Toy Story,7.7
2,Grumpy Old Men Collection,"['Romance', 'Comedy']",en,11.7129,"['Warner Bros.', 'Lancaster Gate']",101.0,['English'],Grumpier Old Men,6.5
4,Father of the Bride Collection,['Comedy'],en,8.387519,"['Sandollar Productions', 'Touchstone Pictures']",106.0,['English'],Father of the Bride Part II,5.7
9,James Bond Collection,"['Adventure', 'Action', 'Thriller']",en,14.686036,"['United Artists', 'Eon Productions']",130.0,"['English', 'Pусский', 'Español']",GoldenEye,6.6
12,Balto Collection,"['Family', 'Animation', 'Adventure']",en,12.140733,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",78.0,['English'],Balto,7.1
18,Ace Ventura Collection,"['Crime', 'Comedy', 'Adventure']",en,8.205448,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",90.0,['English'],Ace Ventura: When Nature Calls,6.1
20,Chili Palmer Collection,"['Comedy', 'Thriller', 'Crime']",en,12.669608,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",105.0,['English'],Get Shorty,6.4
33,Babe Collection,"['Fantasy', 'Drama', 'Comedy', 'Family']",en,14.404764,"['Universal Pictures', 'Kennedy Miller Productions']",89.0,['English'],Babe,6.0
43,Mortal Kombat Collection,"['Action', 'Fantasy']",en,10.870138,"['New Line Cinema', 'Threshold Entertainment']",101.0,['English'],Mortal Kombat,5.4
47,Pocahontas Collection,"['Adventure', 'Animation', 'Drama', 'Family']",en,13.280069,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",81.0,['English'],Pocahontas,6.7
65,The Lawnmower Man Collection,"['Action', 'Science Fiction']",en,2.49535,['New Line Cinema'],92.0,"['English', 'Magyar']",Lawnmower Man 2: Beyond Cyberspace,2.8
68,Friday Collection,['Comedy'],en,14.56965,['New Line Cinema'],91.0,['English'],Friday,7.0
